한글,영어,일어
"배, 복부",abdomen,⑴ 腹 ⑵ 腹 部
복부부속지,abdominal appendage,腹 肢
배지느러미,abdominal fin,腹びれ
"복공(腹孔), 복부공",abdominal pore,腹 孔
복부반사,abdominal reflex,腹部反射
복부늑골,abdominal rib,腹ろく
외전신경,abducent nerve,外轉神經
외전근(外轉筋),abductor,外轉筋
"무생활력, 생명력결여",abiosis,生活力缺如
비생물적환경,abiotic environment,非生物的環境
무생활력,abiotrophy,無生活力
이유(離乳),ablactation,離 乳
이상분열,abnormal division,異常分裂
"주름위, 추위(皺胃)",abomasum,第四胃(しわ胃)
부전 형질전환,abortive transformation,不全型形質轉換
농양(膿瘍),abscess,のうよう
"낙엽산, 아브시스산",abscisic acid,アブシシン酸 (ABA)
"아브시신, 아브시스산",abscisin,アブシシン
절대불응기,absolute refractory period,絶對不心期
흡광도,absorbancy,吸光度
흡수스펙트럼,absorption spectrum,吸收スペクトル
흡수세포,absorptive cell,吸收細胞
흡수상피,absorptive epithelium,吸收上皮
흡수조직,absorptive tissue,吸收組織
심해대,abyssal zone,深海層
심해원양성,abyssopelagic,深海浮遊性--形
"덧과실, 부과",accessory fruit,僞 果
부신경,accessory nerve,副神經
보조박동기관,accessory pulsatory organ,袖助拍動器官
"순응, 조절",accommodation,⑴ 順 應 ⑵ 遠近調節
"부착성장, 증대",accretion,付加成長
무두낭충(無頭囊蟲),acephalocyst,無頭シスト
비구(脾臼),acetabulum,⑴ 寬骨臼 ⑵ 關節陷 ⑶ 吸盤
아세트산세균,acetic acid bacteria,酢酸菌
아세트산발효,acetic acid fermentation,酢酸發酵
아세톤-부탄올발효,acetone-butanol fermentation,アセトン-ブタノ－ル發酵
아세틸화,acetylation,アセチル化
아세틸콜린 가수분해효소,acetylcholine esterase,アセチルコリンエステラ－ゼ
아세틸조효소A 카르복시화효소,acetyl-CoA carboxylase,アセチルCoA カルボキ シラ－ゼ
아세틸무람산,acetylmuramic acid,アセチルムラミン酸
침형잎,aciculate leaf,針形葉
산성생장,acid growth,酸成長
산성식물,acid plant,酸植物
산성비,acid rain,酸性雨
산성토양,acid soil,酸性土壤
