한글,영어,일어
자연발생설,abiogenesis,
비생물성 분해,abiotic degradation,
비생물적 분해,abiotic degradation,
비생물성 분해,abiotic degradation,
비생물적 분해,abiotic degradation,
삭마,ablation,
용융제거,ablation,
삭마,ablation,
용융제거,ablation,
비정상 산란,abnormal scattering,
마모성,abradability,
마모시험기,abrader,
연마기,abrader,
마모시험기,abrader,
연마기,abrader,
마모시험기,abraser,
연마기,abraser,
마모시험기,abraser,
연마기,abraser,
마모,abrasion,
마쇄,abrasion,
마모,abrasion,
마쇄,abrasion,
마모 경도,abrasion hardness,
마모 저항,abrasion resistance,
마모 시험기,abrasion tester,
연마제,abrasive,
연마재,abrasive,
연마제,abrasive,
연마재,abrasive,
가로좌표,abscissa,
가로축,abscissa,
횡좌표,abscissa,
가로좌표,abscissa,
가로축,abscissa,
횡좌표,abscissa,
가로좌표,abscissa,
가로축,abscissa,
횡좌표,abscissa,
기선,abseline,
바탕선,abseline,
기선,abseline,
바탕선,abseline,
무수 알코올,absolute alcohol,
절대 평균,absolute average,
절대 용량,absolute capacity,
절대 배열,absolute configuration,
절대 밀도,absolute density,
절대 에너지,absolute energy,
절대 엔트로피,absolute entropy,
절대 오차,absolute error,
무수 에테르,absolute ether,
무수 이써,absolute ether,
무수 에테르,absolute ether,
무수 이써,absolute ether,
완전 여과기,absolute filter,
완전 휠터,absolute filter,
절대 여과기,absolute filter,
절대 휠터,absolute filter,
완전 여과기,absolute filter,
완전 휠터,absolute filter,
절대 여과기,absolute filter,
절대 휠터,absolute filter,
완전 여과기,absolute filter,
완전 휠터,absolute filter,
절대 여과기,absolute filter,
절대 휠터,absolute filter,
완전 여과기,absolute filter,
완전 휠터,absolute filter,
절대 여과기,absolute filter,
절대 휠터,absolute filter,
절대 습도,absolute humidity,
절대 절연,absolute insulation,
절대 압력,absolute pressure,
절대 포화,absolute saturation,
절대 입체구조,absolute stereostructure,
절대 온도,absolute temperature,
절대 단위,absolute unit,
절대 속도,absolute velocity,
절대 점도,absolute viscosity,
절대 체적,absolute volume,
절대 부피,absolute volume,
절대 체적,absolute volume,
절대 부피,absolute volume,
흡광도,absorbance,
흡수위,absorbance,
흡광도,absorbance,
흡수위,absorbance,
흡광 지수,absorbance index,
흡수 지위,absorbance index,
흡광 지수,absorbance index,
흡수 지위,absorbance index,
피흡수질,absorbate,
흡수체,absorbent,
흡광체,absorbent,
흡수제,absorbent,
흡수체,absorbent,
흡광체,absorbent,
흡수제,absorbent,
흡수체,absorbent,
흡광체,absorbent,
흡수제,absorbent,
흡수기,absorber,
흡수 화학종,absorbing species,
흡수율,absorptance,
흡광능,absorptance,
흡수능,absorptance,
흡수율,absorptance,
흡광능,absorptance,
흡수능,absorptance,
흡수율,absorptance,
흡광능,absorptance,
흡수능,absorptance,
흡수측정법,absorptiometry,
흡광측정법,absorptiometry,
흡수측정법,absorptiometry,
흡광측정법,absorptiometry,
흡광,absorption,
흡수,absorption,
흡광,absorption,
흡수,absorption,
흡광 용기,absorption cell,
흡수 용기,absorption cell,
흡광 용기,absorption cell,
흡수 용기,absorption cell,
흡수 냉각기,absorption chiller,
흡수 크로마토그래프법,absorption chromatography,
흡광 계수,absorption coefficient,
흡수 계수,absorption coefficient,
흡광 계수,absorption coefficient,
흡수 계수,absorption coefficient,
흡광 곡선,absorption curve,
흡수 곡선,absorption curve,
흡광 곡선,absorption curve,
흡수 곡선,absorption curve,
흡광 인자,absorption factor,
흡수 인자,absorption factor,
흡광 인자,absorption factor,
흡수 인자,absorption factor,
흡광 여과기,absorption filter,
흡수 휠터,absorption filter,
흡광 휠터,absorption filter,
흡수 여과기,absorption filter,
흡광 여과기,absorption filter,
흡수 휠터,absorption filter,
흡광 휠터,absorption filter,
흡수 여과기,absorption filter,
흡광 여과기,absorption filter,
흡수 휠터,absorption filter,
흡광 휠터,absorption filter,
흡수 여과기,absorption filter,
흡광 여과기,absorption filter,
흡수 휠터,absorption filter,
흡광 휠터,absorption filter,
흡수 여과기,absorption filter,
흡수 냉각장치,absorption machine,
흡수 장치,absorption machine,
흡수 냉각장치,absorption machine,
흡수 장치,absorption machine,
흡광 최대점,absorption maximum,
흡수 최대점,absorption maximum,
흡광 최대점,absorption maximum,
흡수 최대점,absorption maximum,
흡광 방식,absorption mode,
흡수 기름,absorption oil,
흡광 피absorption peak,
흡수 피absorption peak,
흡광 피absorption peak,
흡수 피absorption peak,
흡광 광도측정법,absorption photometry,
흡광 속도,absorption rate,
흡수 속도,absorption rate,
흡광 속도,absorption rate,
흡수 속도,absorption rate,
흡광 공명,absorption resonance,
흡수 공명,absorption resonance,
흡광 공명,absorption resonance,
흡수 공명,absorption resonance,
흡수 분광광도 측정법,absorption spectrophotometry,
흡수 분광법,absorption spectroscopy,
흡수 빛띠,absorption spectrum,
흡수 스트럼,absorption spectrum,
흡수 빛띠,absorption spectrum,
흡수 스트럼,absorption spectrum,
흡광도,absorptivity,
흡수능,absorptivity,
흡수도,absorptivity,
흡광도,absorptivity,
흡수능,absorptivity,
흡수도,absorptivity,
흡광도,absorptivity,
흡수능,absorptivity,
흡수도,absorptivity,
세제,abstergent,
세척제,abstergent,
세제,abstergent,
세척제,abstergent,
요약,abstract,
초록,abstract,
요약,abstract,
초록,abstract,
교류 회로,AC circuit,
교류 검류계,AC galvanometer,
