한글,영어,일어
"1,3-이중극성 첨가, 1,3-쌍극성 첨가",13-dipolar addition," l,3-雙極付加"
"1,3-펜타다이엔",13-pentadiene, l.3-ペンタジエン
8-퀴놀린올,8-quinolinol, 8-キノリノ－ル
선험(적),a priori,
순이론적,ab initio,
순이론적 계산,ab initio calculation,
순이론적 방법,ab initio method,
아벨 군,Abelian group,
수차,aberration, 收 差
아비에트산,abietic acid, マビエチン酸
자연 발생설,abiogenesis,
무생물적,abiotic,
비정상액체,abnormal liquid,
이상응결,abnormal setting, 異常凝結【セメント】
마모시험기,abrader, 摩耗試驗機
마멸,abrasion, 摩 耗
마모량,abrasion loss, 摩耗量
마모자국,abrasion mark, 摩擦かぶり【寫】
마모시험,abrasion test, 摩耗拭驗
연마천,abrasive cloth, 硏磨布
연마조형,abrasive forming, 硏磨造形
연마종이,abrasive paper, 硏磨紙
마모성,abrasiveness, 摩損性
연마제,abrasives, (1)硏磨材  (2)硏磨劑  (3)硏削材
압시스산,abscisic acid, アブシシン酸
절대활동도,absolute activity, 絶對活量
무수 알코올,absolute alcohol, 無水アルコ－ル
절대 비대칭 합성,absolute asymmetric synthesis,
절대 배열,absolute configuration, 絶對配置
절대계수,absolute counting, 絶對計數【放射能】
절대 오차,absolute error,
무수 에테르,absolute ether,
절대습도,absolute humidity, 絶對濕度
절대측정,absolute measurement, 絶對測定
절대압,absolute pressure, 絶對壓〔力〕
절대 입체 구조,absolute stereostructure,
절대 온도,absolute temperature, 絶對溫度
절대 단위,absolute unit,
절대 영도,absolute zero,
절대 영전위,absolute zero potential,
"흡광도, 흡수도",absorbance, 吸光度
피흡수체,absorbate,
흡수선량,absorbed dose,
"흡광체, 흡수체, 흡수제",absorbent, 吸收劑
"흡수체, 흡수제, 흡광체",absorber, (1)吸收器  (2)吸收體  (3)吸收塔
흡수능,absorbing power, 吸收能
"흡수법, 흡광법",absorptiometry, 吸光光度[定量〕法
"흡수, 흡광",absorption, (1)吸 收  (2)吸 【塗】
흡수띠,absorption band, 吸收バンド
"흡수용기, 흡광용기, 흡수세포",absorption cell, 吸收セル
"흡수계수, 흡광계수",absorption coefficient, 吸收係數
"흡수곡선, 흡광곡선",absorption curve, 吸收曲線
흡수끝,absorption edge,
"흡수인자, 흡광인자",absorption factor, 吸收因子【化工】
흡수한계,absorption limit,
흡수선,absorption line,
"극대흡수, 극대흡광",absorption maximum, 吸收極大
흡수기름,absorption oil, 吸收油【燃】
흡수 봉우리,absorption peak,
흡수피펫,absorption pipet, 吸收ピペット
흡수공명,absorption resonance,
흡수 분광 광계량법,absorption spectrometry,
흡수 분광학,absorption spectroscopy,
흡수스펙트럼,absorption spectrum, 吸收スペクトル
흡수탑,absorption tower, 吸收塔
흡수 행렬,absorption train, 吸收トレ－ン
"흡수율, 흡수 계수, 흡광 계수",absorptivity,
떼기 반응,abstraction reaction, 引拔反應
교류폴라로그라피,AC polarography, 交流ボ－ラログラフィ-
가속내후시험,accelerated weathering test, 促進耐候試驗
가속제,accelerating agent, 促染劑
가속 전압,accelerating voltage,
가속 전압 주사,accelerating voltage scan,
"가속기, 가속제",accelerator, (1)促進劑  (2)促染劑
"받개, 수용체",acceptor, (1)受容體  (2)受け器
받개 준위,acceptor level,
받개 값,acceptor number,
우연오차,accidental error,
수용계수,accommodation coefficient,
적응 계수,accomodation coefficient,
누산 시계,accumulation clock,
누적 층,accumulation layer,
"축전기, 누산기, 축전지",accumulator, アキュムレ-夕一
"정확도, 정확성",accuracy, 正確さ
아세나프텐,acenaphthene, アセナフテン
아세나프틸렌,acenaphthylene, アセナフチレン
아세탈,acetal, アセタ－ル
아세트알데하이드,acetaldehyde, アセトアルデヒド
아세트아마이드,acetamide, アセトアミド
아세트아닐라이드,acetanilide, アセトアニリド
아세테이트,acetate, (1)酢酸鹽  (2)酢酸エステル
아세트산,acetic acid, 酢 酸
아세트산 무수물,acetic anhydride, 無水酢酸
초산박테리아,acetic bacteria, 酢駿菌
아세토아세트산,acetoacetic acid, アセト酢酸
초산균,acetobacter, 酢酸菌
아세트산으로 분해,acetolysis, アセトリシス
아세톤,acetone, アセトン
아세톤분말,acetone powder,
아세톤-부탄올 발효,acetone-butanol fermentation, アセトンブタノ－ル發酵
아세토나이트릴,acetonitrile, アセトニトリル
아세토펜온,acetophenone, アセトフェノン
아세톡실 기,acetoxyl group, アセトキシル基
염화 아세틸,acetyl chloride, 鹽化アセチル
과산화 아세틸,acetyl peroxide, 過酸化アセチル
인산 아세틸,acetyl phosphate, アセチルリン酸【混成無水物】
아세칠 값,acetyl value, アセチル
아세틸아세톤,acetylacetone, アセチルアセトン
아세틸화제,acetylating agent, アセチル化劑
아세틸화 (반응),acetylation, アセチル化
초산화제,acetylator, 酢化機
아세트산 셀룰로오스,acetylcellulose,
아세틸콜린,acetylcholine, アセチルコリン
아세틸렌,acetylene, アセチレン
아세틸렌검정,acetylene black, アセチレンブラック
아세틸렌 계열,acetylenes,
아세틸라이드,acetylide, アセチリド
아키랄 형,achiral,
비-키랄성 분자,achiral molecule,
"비손대칭성, 비키랄성",achirality,
무채색,achromatic color, 無彩色
색지움조건,achromatic condition, 色消し條件
색지움렌즈,achromatic lens, 色消しレンズ
색지움,achromatism, 色消し
아시형,aci form,
산(-),acid, 酸
산무수물,acid anhydride, 酸無水物
산 무수물,acid anhydrides,
아지드화산,acid azide,
산 촉매,acid catalysis,
산촉매,acid catalyst, 酸觸媒
산중심,acid center, 酸性中心
"산점토, 산진흙",acid clay, 酸性白土
산색,acid color, 酸性色【指示藥】
산함량,acid content, 酸 分
"산현상액, 산현색제",acid developer, 酸性現像液
산해리 상수,acid dissociation constant,
산염료,acid dye, 酸性染料
"산정착액, 산고정액",acid fixing solution, 酸性定着液
산성형,acid form,
산 할로겐화물,acid halide,
산할로겐화물,acid halides,
산성 가수분해 (반응),acid hydrolysis,
산성 지시약,acid indicator,
산 이온화 상수,acid ionization constant,
산성밀링염료,acid milling dye, 酸性ミリング染料
산성매염물감,acid mordant dye, 酸性媒染染料
산성도 수,acid number, 酸
산씻기,acid pickling, 酸洗い
산성비,acid rain, 酸性雨
산성 반응,acid reaction,
산성내화물,acid refractories, 酸性耐火物
내산성,acid resistance, 耐酸性
산성찌꺼기,acid sludge, 硫酸スラッジ
산성비누,acid soap, 酸性せっけん
산세기,acid strength, 酸强度【觸媒】
산처리,acid treatment, 酸處理
산가,acid value, 酸
산세척착색시험,acid wash color test, 硫酸着色試驗
산-염기촉매,acid-base catalyst, 酸鹽基觸媒
산 염기 지시약,acid-base indicator, 酸鹽基指示藥
산 염기 자리,acid-base site,
산 염기 적정,acid-base titration, 酸鹽基滴定
산함유기름,acid-containing oil, 含酸油
산성염료,acid-dye,
"산성, 산성-",acidic,
산의 수소,acidic hydrogen,
산성 산화물,acidic oxides,
산성바위,acidic rock, 酸性岩
산 정량,acidimetry, 酸滴定
산도,acidity, 酸性度(酸 度)
산도 상수,acidity constant,
산도 함수,acidity function, 酸度關數
아시도 착물,acido complex,
산으로분해,acidolysis,
-의 내산 형,acid-proof,
내산에나멜,acid-proof enamel, 耐酸ほうろう
산성 비누,acidulated soap stock, ダ－ク油【油脂】
아시-토토머,aci-tautomer,
수집 시간,acquisition time,
아크리딘,acridine, アクリジン
아크로솜,acrosome, アクロソ－ム【精子細胞】
아크릴산,acrylic acid, アクリル酸
아크릴 섬유,acrylic fiber, アクリル纖維
아크릴수지,acrylic resin, アクリル樹脂
아크릴 수지,acrylic resins,
아크릴로나이트릴,acrylonitrile, アクリロニトリル
아크릴로니트릴-부타디엔 고무,acrylonitrile-butadiene rubber,
악틴,actin, アクチン【タンパク質】
악티늄족 수축,actinide contraction,
악티늄족,actinides,
악티늄,actinium, アクチニウム
악티늄 계열,actinium series, アクチニウム系列
악티늄족 원소,actinoids, アクチノイド[元素〕
"광량계, 복사량계, 일사계",actinometer, 感光計(アクチノメ－タ－)
광량 측정법,actinometry,
방사균,Actinomyces, 放線菌
악티노마이신,actinomycin, アクチノマイシン
악티논,actinon, アクチノン
작용 적분,action integral,
"활동전위, 자극전위",action potential, 活動電位
작용스펙트럼,action spectrum, 作用スペクトル
활성흡착,activated adsorption, 活化化吸着
활성알루미나,activated alumina, 活性アルミ十
활성탄,activated charcoal,
"활성점토, 활성진흙",activated clay, 活性白土
활성착물,activated complex, 活性錯〔合〕體
활성에너지,activated energy,
활성분자,activated molecule, 活性分子
활성찌꺼기,activated sludge, 活性汚泥
활성화물 이론,activated-complex theory,
활성화,activation, 活性化
방사화 단면적,activation cross section,
활성 에너지,activation energy, 活性化エネルギ-
활성화 Gibbs 에너지,activation Gibbs energy,
활성화 파라미터,activation parameters,
활성화-지배 반응,activation-controlled reaction,
활성제,activator, (1)活性化劑 (2〕活性體【藥】
활성탄소,active carbon, 活性炭
활성중심,active center, 活性中心
방사성퇴적물,active deposit,
활성전극,active electrode, 活性電極
활성인자,active factor, 活性因子
활성질량,active mass, 活動量
활성자리,active site, 活性サイト
활성종,active species, 活性種
능동 운반,active transport, 能動輸送
"활동도, 활성도, 방사능",activity, (1)活 性  (2)活 量
"활동도계수, 활성도계수",activity coefficient, 活量係數
방사능 농도,activity concentration,
방사능계수,activity index, 活動係數【セメント】
방사능비,activity ratio,
악토미오신,actomyosin, -アクトミオシン
실측수,actual count, 實測番手【纖】
실크기,actual size, 實測纖度【纖】
비고리 화합물,acyclic compound, 非環式化合物
염화 아실,acyl chloride, 鹽化アシル
"아실 분해, 아실 쪼개짐",acyl cleavage,
아실기,acyl group, アシル基
할로겐화-아실류,acyl halides,
아실알,acylal, アシラ－ル
아실화 (반응),acylation, アシル化
아실로인,acyloin,
아실옥시,acyloxy, アシルオキン
아실옥시화 (반응),acyloxylation,
"연결<<관기>>, 받침, 연결자, 적응인자",adapter, アダプタ－
적응 변화,adaptive change,
적응 조절,adaptive control,
적응뜸씨,adaptive enzyme,
가산기,adder,
"붙음, 첨가",addition, (1)付 加【反應】 (2)添 加
"붙음착물, 첨가착물",addition complex, 付加錯體
붙음화합물,addition compound, 付加化合物
"첨가중합, 붙음중합",addition polymerization, 付加重合
첨가 반응,addition reaction, 付加反應
색더하기법,additive color process, 加色法
가법 발색,additive coloration,
첨가 이합체화 (반응),additive dimerization,
가감성 오차,additive error,
더덜이 섞기,additive mixing, 加法混合【彩】
가감성 (성질),additive property,
"가감성, 가성성",additivity, 加成性
첨가 생성물 형성 (반응),adduct formation,
첨가 생성 이온,adduct ion,
아데닌,adenine, アデニン
아데노신,adenosine, アデノシン
아데노신 이인산,adenosine diphosphate,
아데닐산,adenylic acid, アデニル酸
부착,adherence, 密 着
부착시험,adherence test, 密着試驗【ほうろう】
피착체,adherent, 被着劑
"부착, 접착",adhesion, (l)付 着  (2)接 着  (3)密着性【表面技術】
"부착배양, 접착배양",adhesion culture, 懸垂培養
부착 장력,adhesion tension,
접착시험,adhesion test, 接着試驗
"부착력, 접착력",adhesive force,
접착성,adhesive property, 接着性
접착테이프,adhesive tape, 接着テ－プ
단열,adiabatic,
단열 일정-부피 열량계,adiabatic bomb calorimeter,
단열변화,adiabatic change, 斷熱變化
단열냉각,adiabatic cooling, 斷熱冷却
"단열 자기 소거, 단열 탈자기화",adiabatic demagnetization,
단열팽창,adiabatic expansion, 斷熱膨張
단열전위,adiabatic potential, 斷熱ポテンシャル
단열 과정,adiabatic process,
단열반응기,adiabatic reactor, 斷熱反應器
단열계,adiabatic system,
"아디프산, 헥산이산",adipic acid, アジピン酸
아디포나이트릴,adiponitrile, アジポニトリル
옆자리효과,adjacent effect, 隣接 果【寫】
수반 연산자,adjoint operator,
조정 머무름 시간,adjusted retention time,
보조약,adjuvant, (1)補助劑【農藥】 (2)アジュバント【免疫】
어드미턴스,admittance,
흡착분자,admolecule, 吸着分子
에이디피,ADP,
아드레날린,adrenaline, アドレナリン
피흡착질,adsorbate, 吸着質
흡착제,adsorbent, 吸着劑
흡착기,adsorber, (1)吸着器  (2)吸着裝置【化工】
흡착,adsorption, 吸 着
흡착전류,adsorption current, 吸着電流
흡착막,adsorption film, 吸着膜
흡착 지시약,adsorption indicator,
"흡착등온선, 흡착등온식",adsorption isotherm, (1)吸着等溫線  (2)吸着等溫式
흡착전위,adsorption potential, 吸着電位
흡착자리,adsorption site, 吸着サイト【觸】
외래회분,adventitious ash, 外來灰分
"아세틸렌, 에틴",aectylene,
부푼콘크리트,aerated concrete, 泡コンクリ－ト
"포기, 통기",aeration, 通 氣
에어리얼 포그,aerial fog, 空氣かぶり【寫】
산소성박테리아,aerobic bacteria, 好氣細菌
산소성 발효,aerobic fermentation,
호기성생물,aerobic organism,
산소성 산화,aerobic oxidation,
산소성 경로,aerobic pathway,
에어로겔,aerogel,
기상자동기록기,aerograph, エ－ログラフ【窯】
"에어로솔, 연무제",aerosol, エ－ロゾル
"친화성, 친화도",affinity, 親和力
친화 크로마토그래피,affinity chromatography, アフィニティ－クロマトグラフィ-
친화표지,affinity label, アフィニティ－標識
친화 표지,affinity labeling,
후점성,after tack, 戾 り【塗】
다시굽기,after-baking, 後燒き
후표백,after-bleaching, 後ざらし
재연소기,afterburner, アフタ－バ－ナ－
재연소,afterburning, 後燃え(アフタ－バ－ニング)
재염색,afterchroming, アフタ－クロム【染】
재수축,after-contraction, 再加熱收縮【窯】
후경화,after-curve, (1)後硬化【樹脂】  (2)後加硫【ゴム】
남은 효과,after-effect,
후발효,after-fermentation, 後發酵
재숙성,after-ripening, 後 熱
후수축,after-shrinkage, 後縮み
뒷처리,after-treatment, 後處理
뒷황더하기,after-vulcanization, 後加硫【ゴム】
"한천, 우무, 우뭇가사리",agar,
"우무, 우뭇가사리, 한천",agar-agar,
우무다리,agar-bridge, 寒天橋
마노,agate, めのう
마노막자사발,agate mortar, めのう乳鉢
시효 경화,age hardening,
응집성,agglomerating property, 粘着生【不炭】
응집소,agglutinin, 凝集素
응집체,aggregate, (1)凝集體  (2)骨 村【セメント】
"응집, 집합",aggregation, 凝 集
"노화, 묵힘, 숙성, 에이징",aging,
묵힘시험,aging test, 老化試驗
"휘젓기, 휘저음",agitation, かくはん【化工】
휘젓개,agitator, かくはん機【化工】
아글리콘,aglycon, アグリコン
작용약,agonist, アゴニスト
아고스틱 수소,agostic hydrogen,
공기,air, 空 氣
공기 중탕,air bath, 空氣浴
공기냉각기,air condenser, 空冷コンデンサ－
공기조절,air conditioning, 空氣調和
"공기말림, 공기건조, 자연건조",air drying, (1)空氣乾燥  (2)自然乾燥【途】
공기세척,air elutriation, 風 ひ
공기세척기,air elutriator, 風ひ器
발생로가스,air gas,
공기경화(성),air hardening, 氣硬性【窯】
공기가열로,air heating furnace, 空氣加熱爐
공기선,air line, 空氣線【分光】
공기 산화,air oxidation, 空氣酸化
공기 봉우리,air peak,
대기오염,air pollution, (1)大氣汚染  (2)空氣汚染
공기저장기,air reservoir, 空氣だめ
