한글,영어,일어
1 큐잉 시스템,1 queuing system,
100기반-티,100BASE-T,
10기반-에프,10BASE-F,
802.x 표준안,802.x standards,
8비트 바이트,8-bit byte,8ビットバイト                                                                                                                                                                                                                                                        
A 알고리즘,A algorithm,A*アルゴリズム                                                                                                                                                                                                                                                       
A 앤드-낫 B 게이트,A AND-NOT B gate,
A/D 변환기,A/D converter,A/D?換器                                                                                                                                                                                                                                                         
주판,abacus,ソロバン                                                                                                                                                                                                                                                           
단축 주소 호출,abbreviated address calling,短縮アドレス呼出し                                                                                                                                                                                                                                                      
약기 조합 비교 조건,abbreviated combined relation condition,略記組合せ比較?件                                                                                                                                                                                                                                                      
약어,abbreviation,略語                                                                                                                                                                                                                                                             
ABC 분석,ABC analysis,ABC分析                                                                                                                                                                                                                                                          
발상,abduction,?想                                                                                                                                                                                                                                                             
발상적 추론,abductive inference,?想推論                                                                                                                                                                                                                                                           
파일변환 프로그램,ABE,
이상한,abnormal,異常な                                                                                                                                                                                                                                                            
이상 종료,ABnormal END,異常終了                                                                                                                                                                                                                                                           
태스크 이상 종료,abnormal end of task,タスクの異常終了                                                                                                                                                                                                                                                       
비정상 종료,abnormal termination,異常終了                                                                                                                                                                                                                                                           
이상 종료 메시지,abnormal termination message,異常終了メッセ?ジ                                                                                                                                                                                                                                                      
비정상 종료 회복 프로그램,abnormal termination recovery program,
포기 패턴,abort pattern,放棄パタ?ン                                                                                                                                                                                                                                                         
중지 순서,abort sequence,放棄シ?ケンス                                                                                                                                                                                                                                                        
중지 문,abort statement,放棄文                                                                                                                                                                                                                                                            
중지 접속,aborted connection,放棄された接?                                                                                                                                                                                                                                                        
절대 주소,absolute address,絶?アドレス                                                                                                                                                                                                                                                         
절대 주소 지정,absolute addressing,絶?アドレス指定                                                                                                                                                                                                                                                       
절대 어셈블러,absolute assembler,絶?アセンブラ                                                                                                                                                                                                                                                        
절대 어셈블리,absolute assembly,絶?アセンブリ                                                                                                                                                                                                                                                        
절대 코드,absolute binary,
절대 분기,absolute branch,
절대 부호,absolute code,絶?コ?ド                                                                                                                                                                                                                                                          
절대 코딩,absolute coding,絶?コ?ディング                                                                                                                                                                                                                                                       
절대 좌표,absolute coordinate,絶?座標                                                                                                                                                                                                                                                           
절대 좌표 지령,absolute coordinate command,
절대 데이터,absolute data,絶?デ?タ                                                                                                                                                                                                                                                          
절대 오류,absolute error,絶?誤差                                                                                                                                                                                                                                                           
절대식,absolute expression,絶?式                                                                                                                                                                                                                                                            
절대값 함수,ABSolute function,絶?値??                                                                                                                                                                                                                                                          
절대 세대 번호,absolute generation number,絶?世代番?                                                                                                                                                                                                                                                         
절대 언어,absolute language,絶?言語                                                                                                                                                                                                                                                           
절대 실음개,absolute loader,絶?ロ?ダ                                                                                                                                                                                                                                                          
절대 로더 루틴,absolute loader routine,絶?ロ?ダル?チン                                                                                                                                                                                                                                                      
절대 측정,absolute measurement,絶?測定                                                                                                                                                                                                                                                           
절대 경로명,absolute path name,絶?パス名                                                                                                                                                                                                                                                          
절대 성능 척도,absolute performance measure,
절대값식 플로터 제어,absolute plotter control,絶?値式プロッタ制御                                                                                                                                                                                                                                                     
절대 포인팅 장치,absolute pointing device,
절대 위치 변환기,absolute position transducer,アブソリュ?ト位置?出器                                                                                                                                                                                                                                                   
절대 압력,absolute pressure,
절대 프로그램,absolute program,絶?プログラム                                                                                                                                                                                                                                                        
절대 프로그래밍,absolute programming,絶?プログラミング                                                                                                                                                                                                                                                      
절대 온도,absolute temperature,絶??度                                                                                                                                                                                                                                                           
절대항,absolute term,絶?項                                                                                                                                                                                                                                                            
절대 단위,absolute unit,
절대값 컴퓨터,absolute value computer,
절대 벡터,absolute vector,絶?ベクトル                                                                                                                                                                                                                                                         
흡수,absorption,吸?                                                                                                                                                                                                                                                             
흡수 계수,absorption coefficient,吸?係?                                                                                                                                                                                                                                                           
흡수 변조,absorption modulation,
초록,abstract,抄?                                                                                                                                                                                                                                                             
추상 데이터 구조,abstract data structure,
추상 데이터형,abstract data type,抽象デ?タ型                                                                                                                                                                                                                                                         
추상형 구성자,abstract data type constructor,抽象型構成子                                                                                                                                                                                                                                                         
추상 기계,abstract machine,抽象機械                                                                                                                                                                                                                                                           
추상 프로그램 기계,abstract program machine,抽象プログラム機械                                                                                                                                                                                                                                                      
추상 기호,abstract symbol,
추상 구문,abstract syntax,抽象構文                                                                                                                                                                                                                                                           
추상 구문 기법,Abstract Syntax Notation One,抽象構文記法                                                                                                                                                                                                                                                         
추상적인 시험조,abstract test suite,
국제 학술 연합회의 문헌 초록 위원회,Abstracting Board,
추상화,abstraction,抽象                                                                                                                                                                                                                                                             
A 버스,A-Bus,
교류 결합,AC coupling,交流結合                                                                                                                                                                                                                                                           
교류 덤프,AC dump,
가속 시험,accelerated test,促進試?                                                                                                                                                                                                                                                           
가속 계수,acceleration factor,
가속기,accelerator,アクセラレ?タ                                                                                                                                                                                                                                                        
가속기 카드,accelerator card,
채택,accept,受け取る                                                                                                                                                                                                                                                           
수락 문,accept statement,受け入文                                                                                                                                                                                                                                                           
합격 신뢰성 수준,acceptable reliability level,許容信?度水準                                                                                                                                                                                                                                                        
허용 가능한 사용 정책,acceptable use policy,利用目的制限政策                                                                                                                                                                                                                                                       
인수 기준,acceptance criteria,受入れ基準                                                                                                                                                                                                                                                          
승인 시험,acceptance test,受入れ試?                                                                                                                                                                                                                                                          
억셉터,acceptor,アクセプタ                                                                                                                                                                                                                                                          
접근,access,アクセス                                                                                                                                                                                                                                                           
접근 및 관리,access and management,
접근 팔,access arm,アクセスア?ム                                                                                                                                                                                                                                                        
접근 권리,access authority,アクセス?                                                                                                                                                                                                                                                          
접근 범주,access category,アクセスカテゴリ                                                                                                                                                                                                                                                       
접속 요금,access charge,アクセス?チャ?ジ                                                                                                                                                                                                                                                      
접근 코드,access code,
접근 제약,access constraint,
접근 제어,access control,アクセス制御                                                                                                                                                                                                                                                         
접근 제어 부호,access control code,
접근 제어 구역,access control field,アクセス制御フィ?ルド                                                                                                                                                                                                                                                    
접근 제어 목록,access control list,アクセス制御リスト                                                                                                                                                                                                                                                      
접근 제어 행렬,access control matrix,
접근 제어 기구,access control mechanism,アクセス管理機構                                                                                                                                                                                                                                                       
접근 제어 레지스터,access control register,
접근 제어어,access control word,アクセス制御語                                                                                                                                                                                                                                                        
접근 기능,access function,アクセス??                                                                                                                                                                                                                                                         
접근 계층,access hierarchy,アクセス階層                                                                                                                                                                                                                                                         
접근 수준,access level,アクセスレベル                                                                                                                                                                                                                                                        
접근 회선,access line,アクセス回線                                                                                                                                                                                                                                                         
접근 목록,access list,アクセスリスト                                                                                                                                                                                                                                                        
접근 관리 서비스,access management service,アクセス管理サ?ビス                                                                                                                                                                                                                                                     
접근 행렬,access matrix,
접근 장치,access mechanism,アクセス機構                                                                                                                                                                                                                                                         
접근 방법,access method,アクセス法                                                                                                                                                                                                                                                          
액세스 방법 제어 블록,access method control block,アクセス方式制御ブロック                                                                                                                                                                                                                                                   
접근법 루틴,Access Method Routine,アクセス法ル?チン                                                                                                                                                                                                                                                      
접근 방식 서비스,access method services,アクセス方式サ?ビス                                                                                                                                                                                                                                                     
접근 모드,access mode,アクセスモ?ド                                                                                                                                                                                                                                                        
접근 모듈,access module,
접근 번호,Access number,
접근 경로,access path,アクセス?路                                                                                                                                                                                                                                                         
접근 경로 독립,access path independence,アクセス?路?立性                                                                                                                                                                                                                                                      
접근 기간,access period,アクセス周期                                                                                                                                                                                                                                                         
접근 허가,access permission,アクセス許可                                                                                                                                                                                                                                                         
접근점,access point,アクセスポイント                                                                                                                                                                                                                                                       
접근 프로토콜,access protocol,
접근점 제공자,access provider,
