한글,영어,일어
A 및 R 표시,A and R display,
A급 절연,A class insulation,
a 접점,a contact,
A 디스플레이,A display,
A 범위,A scope,
A 신호,A signal,
A 국,A station,
A 트레이스,A trace,
A형 자동전화,A type automatic telephone switch-board,
aa-접점,aa-contact,
AB 체크,AB check,
AB 테스트,AB test,
절대암페어,abampere,
추상언어족,abatract family of languages,
A-전지,A-battery,
단축다이어링,abbreviated dialing,
제거,ablation,アブレ?ション                                                                                                                                                                                                                                                        
이상음극강하,abnormal cathode fall,
이상감쇠,abnormal decay,
이상 E층,abnormal E layer,
이상글로우방전,abnormal glow discharge,
이상반사,abnormal reflection,
중단,abort,アボ?ト                                                                                                                                                                                                                                                           
포기순차,abort sequence,
분말분사식 트리밍,abrasive trimming,
계단접합,abrupt junction,
ABS 수지,ABS resin,ABS 樹脂                                                                                                                                                                                                                                                         
부재전송,absent transfer,
부재중안내서비스,absent-subscriber service,
절대,absolute,
절대정확도,absolute accuracy,
절대 번지,absolute address,"絶?アドレス                                                                                                                                                                                                                                                         ,絶?アドレス                                                                                                                                                                                                                                                         "
절대 어드레스,absolute address,"絶?アドレス                                                                                                                                                                                                                                                         ,絶?アドレス                                                                                                                                                                                                                                                         "
절대고도계,absolute altimeter,
절대폐색,absolute block,
절대코드,absolute code,
절대일치성,absolute conformity,
절대지연시간,absolute delay,
절대오차,absolute error,
절대이득,absolute gain,
절대레벨,absolute level,
절대임계,absolute limen,
절대선형성,absolute linearity,
절대최대정격,absolute maximum rating,
절대 측정,absolute measurement,絶?測定                                                                                                                                                                                                                                                           
절대허용구간,absolute permissive block,
절대유전율,absolute permittivity,
전대광전음극감도,absolute photocathode spectral response,
절대위치변환기,absolute position transducer,
절대압력,absolute pressure,
절대프로그램밍,absolute programming,
절대불응상태,absolute refractory state,
절대신호,absolute signal,
절대시스템편차,absolute system deviation,
절대 온도,absolute temperature,絶??度                                                                                                                                                                                                                                                           
절대열전전력,absolute thermoelectric power,
절대임계값,absolute threshold,
절대과도편차,absolute transient deviation,
절대속도,absolute velocity,
전대영도,absolute zero,
흡수디지트,absorbed digit,
흡수선량,absorbed dose,
흡수체,absorber,吸??                                                                                                                                                                                                                                                            
흡수관회로,absorber circuit,
흡수회로,absorbing circuit,
흡수코일,absorbing coil,
흡음재,absorbing material,
흡수선택기,absorbing selector,
흡수,absorption,吸?                                                                                                                                                                                                                                                             
흡수단면,absorption cross section,
흡수전류,absorption current,
흡수단층,absorption discontinuity,
흡수단,absorption edge,吸?端                                                                                                                                                                                                                                                            
흡수페이딩,absorption fading,
흡수주파수계,absorption frequency meter,
흡수선,absorption line,
흡수손실,absorption loss,
흡수변조,absorption modulation,
흡수영역,absorption region,
흡수 스펙트럼,absorption spectrum,吸?スペクトル                                                                                                                                                                                                                                                        
흡수형주파수계,absorption type frequency meter,
흡수형파형계,absorption wave meter,
요약,abstract,抽象的                                                                                                                                                                                                                                                            
추상 데이터형,abstract data type,抽象デ?タ型                                                                                                                                                                                                                                                         
추상 기계,abstract machine,抽象マシン                                                                                                                                                                                                                                                          
가상모델접급법,abstract model approach,
가상기호,abstract symbol,
추상화,abstraction,抽象                                                                                                                                                                                                                                                             
교류밸런서,AC balancer,
교류바이어스레코딩,AC biased recording,
교류바이어스방법,AC biasing method,
교류브리지,AC bridge,
AC 버스,AC bus,ACバス                                                                                                                                                                                                                                                           
교류케이블,AC cable,
교류용 커패시터,AC capacitor,
교류회로,AC circuit,
교류정류자기,AC commutator machine,
교류정류자전동기,AC commutator motor,
교류결합 플립플롭,AC coupled flip-flop,AC結合フリップフロップ                                                                                                                                                                                                                                                   
교류 결합,AC coupling,交流結合                                                                                                                                                                                                                                                           
교류전류,AC current,
교류소자,AC demagnetization,交流消磁                                                                                                                                                                                                                                                           
교류다이얼방식,AC dialing system,
교류덤프,AC dump,
교류 소거,AC erase,交流消去                                                                                                                                                                                                                                                           
교류소거법,AC erasing,
교류여자기,AC exciter,
교류부동축전방식,AC floating storage-battery system,
교류검류계,AC galvanometer,
교류 초기투자율,AC initial permeability,
교류부하선,AC load line,
교류자기조건,AC magnetic conditioning,
교류 전동기,AC motor,交流電動機                                                                                                                                                                                                                                                          
교류전위차계,AC potentiometer,
교류전력,AC power,
교류 전원,AC power supply,交流電源                                                                                                                                                                                                                                                           
교류직권전동기,AC series motor,
겨류분권전동기,AC shunt motor,
교류타코발전기,AC tachogenerator,
교류전송,AC transmission,
교류 전압,AC voltage,交流電?                                                                                                                                                                                                                                                           
교류권선,AC winding,
AC-AC변환기,AC-AC converter,
가속에이징,accelerated aging,
가속도형 포트,accelerated graphics port,エイジ?ピ?                                                                                                                                                                                                                                                         
가속 시험,accelerated test,促進試?                                                                                                                                                                                                                                                           
가속전류비,accelerating current ratio,
가속전극,accelerating electrode,
가속그리드,accelerating grid,
가속계전기,accelerating relay,
가속 토크,accelerating torque,
가속도,acceleration,加速                                                                                                                                                                                                                                                             
가속상수,acceleration constant,
가속계수,acceleration factor,
가속감응드리프트율,acceleration sensitive drift rate,
가속공간,acceleration space,
가속시험,acceleration test,
가속전압,acceleration voltage,
가속기,accelerator,加速器                                                                                                                                                                                                                                                            
강세,accent,アクセント                                                                                                                                                                                                                                                          
액센트조명,accent lighting,
허용 신뢰도 수준,acceptable reliability level,許容信?度水準                                                                                                                                                                                                                                                        
수광각,acceptance angle,
인수 시험,acceptance test,受け入れ試?                                                                                                                                                                                                                                                         
수리기호열,accepted string,
억셉터,acceptor,アクセプタ                                                                                                                                                                                                                                                          
억셉터회로,acceptor circuit,
억셉터준위,acceptor level,
액세스암,access arm,アクセスア?ム                                                                                                                                                                                                                                                        
접근코드,access code,アクセスコ?ド                                                                                                                                                                                                                                                        
억세스커플러,access coupler,
호출 시간,access time,呼出時間                                                                                                                                                                                                                                                           
접근가능,accessibility,アクセサリ                                                                                                                                                                                                                                                          
동시발생의 보정,accidental coincidence correction,
우연오차,accidental error,
수용위치,accommodated location,
회계기,accounting machine,?計機                                                                                                                                                                                                                                                            
누적자극,accumulated dose,
축적자극,accumulating stimulus,
축적층,accumulation layer,蓄積層                                                                                                                                                                                                                                                            
누적래치기구,accumulative latching mechanical system,
2차전지,accumulator,"/h                                                                                                                                                                                                                                                            ,/h                                                                                                                                                                                                                                                            ,/h                                                                                                                                                                                                                                                            ,/h                                                                                                                                                                                                                                                            "
누산기,accumulator,"/h                                                                                                                                                                                                                                                            ,/h                                                                                                                                                                                                                                                            ,/h                                                                                                                                                                                                                                                            ,/h                                                                                                                                                                                                                                                            "
어큐뮬레이터,accumulator,"/h                                                                                                                                                                                                                                                            ,/h                                                                                                                                                                                                                                                            ,/h                                                                                                                                                                                                                                                            ,/h                                                                                                                                                                                                                                                            "
정확도,accuracy,"精度                                                                                                                                                                                                                                                             ,精度                                                                                                                                                                                                                                                             "
확도,accuracy,"精度                                                                                                                                                                                                                                                             ,精度                                                                                                                                                                                                                                                             "
정밀도 계급,accuracy class,
동작위치 반복 정확도,accuracy of operating position,
정확도정격,accuracy rating,
AC-DC변환기,AC-DC converter,
AC-DC수신기,AC-DC receiver,
AC-DC변환표준,AC-DC transfer standard,
무채색안테나,achromatic antenna,
무채색,achromatic color,
무채색 렌즈,achromatic lens,色消しレンズ                                                                                                                                                                                                                                                         
무채색영역,achromatic locus,
산침지,acid dipping,
산값,acid value,酸?                                                                                                                                                                                                                                                             
긍정,acknowledge,"?答する                                                                                                                                                                                                                                                           ,?答する                                                                                                                                                                                                                                                           "
수락,acknowledge,"?答する                                                                                                                                                                                                                                                           ,?答する                                                                                                                                                                                                                                                           "
확인신호,acknowledgement signal,
교류 계통 종속형 인버터,AC-line dependent inverter,交流系統??形インバ?タ                                                                                                                                                                                                                                                   
음향식 도난 경보기,acoustic burglar alarm,音響式?難警報器                                                                                                                                                                                                                                                       
음향중심,acoustic center,
음향보상기,acoustic compensator,
음향 컴플라이언스,acoustic compliance,音響コンプライアンス                                                                                                                                                                                                                                                     
음향 결합기,acoustic coupler,"音響カプラ                                                                                                                                                                                                                                                          ,音響カプラ                                                                                                                                                                                                                                                          "
음향 커플러,acoustic coupler,"音響カプラ                                                                                                                                                                                                                                                          ,音響カプラ                                                                                                                                                                                                                                                          "
음향 결합,acoustic coupling,音響結合                                                                                                                                                                                                                                                           
음향 지연선,acoustic delay line,音波?延線                                                                                                                                                                                                                                                          
음파의 분산,acoustic dispersion,"音波分散                                                                                                                                                                                                                                                           ,音波分散                                                                                                                                                                                                                                                           "
음향 분산,acoustic dispersion,"音波分散                                                                                                                                                                                                                                                           ,音波分散                                                                                                                                                                                                                                                           "
음향분포귀환레이저,acoustic distributed feedback laser,
음향효율,acoustic efficiency,
음파의 발산,acoustic emission,アコ?スティックエミッション                                                                                                                                                                                                                                                 
음향귀환,acoustic feedback,
음향충실도,acoustic fidelity,
음향 임피던스,acoustic impedance,音響インピ?ダンス                                                                                                                                                                                                                                                      
음향이너턴스,acoustic inertance,
음향입력,acoustic input,
음향간섭계,acoustic interferometer,
음향 렌즈,acoustic lens,音響レンズ                                                                                                                                                                                                                                                          
음향부하,acoustic load,
음향질량,acoustic mass,
음향출력,acoustic output,
음향픽업,acoustic pickup,
초음파Q 스위칭,acoustic Q-switching,
음향복사기,acoustic radiator,
음향방사계,acoustic radiometer,
음향리액턴스,acoustic reactance,
음향굴절,acoustic refraction,
음향재생,acoustic regeneration,
음향저항,acoustic resistance,
음향산란,acoustic scattering,
음원레벨,acoustic source level,
음향속도식가스분석계,acoustic speed type gasmeter,
음향강성,acoustic stiffness,
음향 기억장치,acoustic storage,音響記憶?置                                                                                                                                                                                                                                                         
음향 변성기,acoustic transformer,音響?成器                                                                                                                                                                                                                                                          
음향파디바이스,acoustic wave device,
음향 필터,acoustic wave filter,音響フィルタ                                                                                                                                                                                                                                                         
음향주머,acoustic zoomer,
음향의,acoustical,音響の                                                                                                                                                                                                                                                            
음향감쇠계수,acoustical attenuation constant,
음향필터,acoustical filter,
음향 옴,acoustical ohm,
음향위상상수,acoustical phase constant,
음향양자,acoustical phonon,
음향유사성원리,acoustical principle of similarity,
음향전파상수,acoustical propagation constant,
음향상반정리,acoustical reciprocity theorem,
음향학,acoustics,音響?                                                                                                                                                                                                                                                            
음향 전기 효과,acoustoelectric effect,音響電??果                                                                                                                                                                                                                                                         
음향광학편향기,acousto-optic deflector,
