한글,영어,일어
무중심 연삭기,centerless grinder,
센터레스 그라인더,centerless grinder,
중심 복합 설계,central composite design,
중심극한정리,central limit theorem,
중심선,central line,
집중보전방식,central maintenance system,
중추신경계,central nervous system,
중앙 처리 장치,central processing unit,
중앙 처리장치,central processor unit,
중심경향성,central tendency,
사무 분산 혹은 집중화,centralization or decentralization of clericalwork,
중앙집중 자료처리,centralized data processing,
집중연마제도,centralized tool maintenance system,
세라믹 공구,ceramic tool,
세라믹,ceramics,
서멧,Cermet,
사슬,chain,
사슬 블록,chain block,
연쇄 코드 구조,chain code structure,
공급사슬,chain of supply,
연쇄 샘플링검사,chain sampling plan,
도전장비,challenger,
모따기,chamfering,
우발 원인,chance cause,
우발 고장,chance failure,
기회제약 계획법,chance-constrained programming,
채널,channel,
채프만-콜모고로프방정식,Chapman-Kolmogorov equation,
"문자, 특성",character,
캐릭터 머신,character machine,
특성도,characteristic diagram,
특성 함수,characteristic function,
전하결합장치,charge coupled device,
비용율,charge rate,
샤르피 충격 시험기,Charpy impact tester,
체이서,chaser,
안전 점검표,check list,
체크시이트,checksheet,
케미컬 밀링,chemical milling,
가슴너비,chest breadth,
가슴둘레,chest circumference,
칠 주물,chilled casting,
칠드 주물,chilled casting,
칠 주물,chilled casting,
칠드 주물,chilled casting,
칩 두께,chip thickness,
끌,chisel,
카이제곱 분포,chisquare distribution,
카이 제곱 분포,chi-squared distribution,
색입체시,chromostereopsis,
크로노 사이클 그래프,chronocycle graph,
크로노사이클 그래프,chronocyclegraph,
척,chuck,
슈트,chute,
컴퓨터통합생산,CIM,
회로차단기,circuit braker,
원형도,circularity,
CCS 강좌,civil communication section training program,
클레임,claim,
수명 자산  감가상각 범위,class life asset depreciation range,
개선 등급,class of change,
등급별 전용 저장,class-based dedicated storage,
분류와 코딩,classification and coding,
분류법,classification method,
청정실,clean room,
틈새,clearance,
사무 원가,clerical cost,
CCR 계획,clerical cost reduction plan,
사무 작업 분석,clerical work study,
클릭,click,
클리핑,clipping,
클로 단위,clo unit,
시계방향 증가원리,clockwise for increase principle,
폐쇄형,closed job shop,
폐쇄형 루프,closed loop,
폐쇄형 MRP,closed loop MRP,
폐쇄형 네트워크,closed network,
폐쇄형 대기행렬망,closed queueing network,
폐쇄형 시스템,closed system,
집락 분석,cluster analysis,
집락 추출,cluster sampling,
집락 샘플링,cluster sampling,
집락 추출,cluster sampling,
집락 샘플링,cluster sampling,
집락,clustering,
개량보전,CM,
중추신경계,CNS,
제휴,coalition,
제휴 구조,coalition structure,
열악화 게임,coarsened game,
피복 고속도강,coated high speed steel,
동축 케이블,coaxial cable,
COBOL,COBOL,
달팽이관,cochlea,
코드,code,
코드 색인표,code index,
코딩,coding,
계수행렬,coefficient matrix,
상관 계수,coefficient of correlation,
결정 계수,coefficient of determination,
기계 계수,coefficient of machine,
안전계수,coefficient of safety,
변동 계수,coefficient of variation,
인지,cognition,
응집구조,coherent structure,
응집 시스템,coherent system,
냉간 인발,cold drawing,
냉간 압출,cold extrusion,
냉간 단조,cold forging,
냉간 성형,cold forming,
냉간 가공,cold working,
색채 조절,color conditioning,
색채 판별,color discrimination,
컬러 다이나믹스,color dynamics,
열병합법,column merging method,
열벡터,column vector,
조합 최적화문제,combinatorial optimization problem,
조합계획법,combinatorial programming,
결합동작,combined motions,
컴업 방식,come-up system,
명령 주기,command cycle,
약분 가능한,commensurable,
상용 공차,commercial tolerance,
위원회 제도,committee system,
공통,common,
일반적 원인에 의한 고장,common cause failure,
공통비용,common cost,
상용 적용,common fits,
공동저장영역,common storage area,
의사소통,communication,
통신,communication,
의사소통,communication,
통신,communication,
코픽스,communication-oriented production information and control system,
COPICS,Communications Oriented Production Information and Control System,
정류자,commutator,
사내 표준,company standard,
사내 표준,company standards,
전사적 품질관리,company-wide quality control,
양립성,compatibility,
호환성,compatibility,
양립성,compatibility,
호환성,compatibility,
경쟁적 위험,competing risk,
경쟁 모형,competitive model,
컴파일러,compiler,
상보 대안,complementary alternative,
상보 소거법,complementary pivot algorithm,
상보여유조건,complementary slackness condition,
완전 블록설계,complete block design,
완전 무작위법,completely randomized design,
완전랜덤화법,completely randomized design,
완전 무작위법,completely randomized design,
완전랜덤화법,completely randomized design,
순응동작,compliance motion,
인정샘플링,compliance sampling,
콤포넌트 시간,component hour,
구성부품도,component part drawing,
종합 ASN곡선,composite average sample number curve,
종합 OC곡선,composite operating characteristic curve,
복리값,compound amount,
복리 계수,compound amount factor,
복합인자법,compound factor method,
복리이자,compound interest,
복합 소음 인자,compound noise factor,
복합 포아송 과정,compound Poisson process,
컴파운드 레스트,compound rest,
복리계산기간,compounding period,
복리이자계수,compound-interest factors,
압축 한계,compressed limit,
압축한계측정법,compressed limit gauging,
컴퓨터,computer,
컴퓨터 지원 설계,computer aided design,
컴퓨터 지원제도,computer aided drafting,
컴퓨터 지원공학,computer aided engineering,
컴퓨터 지원 생산,computer aided manufacturing,
컴퓨터 지원제조,computer aided manufacturing,
컴퓨터 지원 생산,computer aided manufacturing,
컴퓨터 지원제조,computer aided manufacturing,
컴퓨터 지원 공정계획,computer aided process planning,
컴퓨터 지원 생산관리,computer aided production management,
컴퓨터지원 품질관리,computer aided quality control,
컴퓨터 지원 소프트웨어 공학,computer aided software engineering,
컴퓨터 지원 학습,computer assisted instruction,
컴퓨터 회의,computer conferencing,
컴퓨터 그래픽스,computer graphics,
컴퓨터 통합 생산,computer integrated manufacturing,
컴퓨터 언어,computer language,
컴퓨터 수치 제어,computer numerical control,
마이크로필름 출력장치,computer output microfilm,
컴퓨터 과학,computer science,
컴퓨터 모의실험,computer simulation,
컴퓨터 비전,computer vision,
컴퓨터 지원 설계,computer-aided design,
컴퓨터 지원 제도,computer-aided drafting,
컴퓨터 지원 공학,computer-aided engineering,
컴퓨터 지원 검사,computer-aided inspection,
컴퓨터 지원 보전,computer-aided maintenance,
컴퓨터 지원 생산,computer-aided manufacturing,
컴퓨터 지원 생산시스템,computer-aided manufacturing system,
컴퓨터 지원 공정 계획,computer-aided process planning,
컴퓨터 지원 생산 관리,computer-aided production management,
컴퓨터 지원 품질,computer-aided quality,
컴퓨터 지원 소프트웨어 공학,computer-aided software engineering,
컴퓨터 지원 검사,computer-aided test,
컴퓨터 지원 교육,computer-assisted instruction,
컴퓨터 지원 파트 프로그래밍,computer-assisted part programming,
CATIA,Computer-graphics Aided Three-dimensional Interactive Application,
CADAM,Computer-graphics Augmented Design And Manufacturing,
COFAD,COmputerized FACilities Design,
CORELAP,COmputerized Relationship LAyout Planning,
CRAFT,Computerized Relative Allocation of Facility Technique,
오목함수,concave function,
집중구매,concentrated purchase,
동축도,concentricity,
겸시공학,concurrent engineering,
동시 운영,concurrent operation,
상태기반 보수,condition based maintenance,
조건부 합격,conditional acceptance,
조건부 우도함수,conditional likelihood function,
조건부 확률,conditional probability,
상태별 보전,condition-based maintenance,
전도 냉각,conductive cooling,
전도성 난청,conductive deafness,
원추,cone,
원추세포,cone cell,
신뢰계수,confidence coefficient,
신뢰 구간,confidence interval,
신뢰수준,confidence level,
신뢰한계,confidence limit,
신뢰 한계,confidence limits,
확인실험,confirmation experiment,
양품,conforming,
교락,confounding,
연결된 네트워크,connected network,
연속동작,consecutive motion,
보존 법칙,conservation law,
일관성,consistency,
일치성,consistency,
일관성,consistency,
일치성,consistency,
콘솔,console,
연결재무제표,consolidated financial statements,
상수 항,constant element,
상수 고장률,constant failure rate,
불변 분배율 제도,constant sharing plan,
일정 스트레스 가속수명시험,constant stress A. L. T.,
제약 최적화문제,constrained optimization problem,
제약식,constraint,
제약식 행렬,constraint matrix,
제약 요건,constraint qualification,
Arrow-Hurwitz-Uzawa의 제약 요건,constraint qualification by Arrow - Hurwitz - Uzawa,
CSG,Constructive Solid Geometry,
소비재의 효용,consumer utility,
소비자위험,consumer's risk,
"(s, S) 정책","(s, S) policy",
이진정수계획법,0-1 integer programming problem,
전수 검사,100% inspection,
3 σ 관리도,3σ chart,
3σ 한계,3σ limit,
4세대 언어,4GL,
ABC 분류법,ABC classification,
ABC 관리방식,ABC control method,
ABC 재고관리,ABC inventory control,
ABC 자재관리,ABC material control,
ABC Standard 105,ABC Standard 105,
ABC Standard l05,ABC-STD-105,
외전,abduction,
마모,abrasion,
연마가공,abrasive machining,
연마재,abrasives,
절대편차평균,absolute deviation mean,
절대오차,absolute error,
절대위치선정법,absolute positioning method,
흡수상태,absorbing state,
가속 감가상각 시스템,accelerated cost recovery system,
가속 수명 시험,accelerated life test,
가속 신뢰도 시험,accelerated reliability test,
가속 시험,accelerated test,
가속시험,accelerated testing,
가속 부하 시험,accelerated-stress test,
가속도,acceleration,
가속 계수,acceleration factor,
가속인자,acceleration factor,
가속 계수,acceleration factor,
가속인자,acceleration factor,
가속 시험,acceleration test,
합격판정 계수,acceptability constant,
합격 품질 수준,acceptable quality level,
합격 신뢰도 수준,acceptable reliability level,
합격,acceptance,
합격 판정 계수,acceptance coeffient,
합격판정 관리도,acceptance control chart,
합격 검사,acceptance inspection,
합격 판정개수,acceptance number,
합격역,acceptance region,
합격판정샘플링,acceptance sampling,
합격판정 판정치,acceptance value,
접근,access,
접근 시간,access time,
부대분석,accessory analysis,
재해 도수율,accident frequency rate,
재해 강도율,accident severity rate,
기후순화,acclimatization,
조절,accommodation,
조절폭,accommodation width,
회계 수명,accounting life,
회계 수익률,accounting rate of return,
누적법,accumulation analysis method,
누적법,accumulative timing,
어큐뮬레이터,accumulator,
정밀도,accuracy,
정확도,accuracy,
정밀도,accuracy,
정확도,accuracy,
산성 비율,acid test ratio,
처치,action,
조치한계,action limit,
사용 전 재고,active inventory,
활성 중복,active redundancy,
활동,activity,
활동 분석,activity analysis,
활동수준,activity level,
액티비티 상관도표,activity related diagram,
활동 관련 분석,activity relationship analysis,
활동 관련 표,activity relationship chart,
활동 샘플링,activity sampling,
활동 여유,activity slack,
활동 시간,activity time,
활동벡터,activity vector,
실제 원가 계산,actual cost method,
실제 시간,actual time,
구동장치,actuator,
순응,adaptation,
ADAPT,Adaptation of Automatically Programmed Tool,
적응제어,adaptive control,
적응 제어 제약,adaptive control constraint,
적응제어예측모형,adaptive control forecasting model,
최적적응제어,adaptive control optimization,
적응 시스템,adaptive system,
부가가치,added value,
가법 모형,additive model,
주소,address,
어드레스블 포인터,addressable pointer,
내전,adduction,
접착 손,adhesive gripper,
인접극점법,adjacent extreme point method,
조정 인자,adjustment factor,
일반관리비,administrative cost,
관리 시간,administrative time,
허용가능 기저,admissible basis,
미관기능,aesthetic function,
구심성 신경,afferent nerve,
세후현금흐름,after-tax cash flow,
수명교체,age replacement,
수명보전,age-based maintenance,
시효,ageing,
총괄생산계획,aggregate production pIan,
총괄 생산계획모형,aggregate production planning model,
총괄인력계획,aggregate staffing plan,
외경법,AGVS,
지원,aiding,
공기척,air chuck,
공기 압축기,air compressor,
공기 조화,air conditioning,
대기 기준,air standard,
알고리즘,algorithm,
알골,algorithmic language,
별명,alias,
정수계획법,all integer programming problem,
다점쌍 최단경로문제,all pairs shortest path problem,
허용 오차,allowable error,
여유,allowance,
여유율,allowance rate,
여유율,allowance ratio,
여유시간,allowance time,
허용 원가,allowed cost,
허용 시간,allowed time,
합금,alloy,
합금 주철,alloy cast iron,
합금강,alloy steel,
문자숫자코드,alphanumeric code,
알파뉴메릭 코드,alphanumeric code,
문자숫자코드,alphanumeric code,
알파뉴메릭 코드,alphanumeric code,
교류 모터,alternate current motor,
교류 서보 모터,alternate current servo motor,
대체최적해,alternate optimum,
대안,alternative,
대용특성,alternative characteristic,
대체 비용,alternative cost,
대립 가설,alternative hypothesis,
대안,alternatives,
주변 조도,ambient light,
미국 산업 기술자 협회,American Institute of Industrial Engineers,
미국 표준 협회,American National Standard Institute,
ASME,American Society of Mechanical Engineers,
미국 기계 기사 협회,American Society of Mechanical Engineers,
ASME,American Society of Mechanical Engineers,
미국 기계 기사 협회,American Society of Mechanical Engineers,
아스키코드,American Standard Code for Information Interchange,
