한글,영어,일어
（C，α）총합가능한,（C，α）-summable,（C，α）?和可能な                                                                                                                                                                                                                                                     
1-매개변수변환군,1-parameter group of transformations,
1-선분,1-segment,
2-선분,2-segment,
경험적,a posteriori,"事後                                                                                                                                                                                                                                                             ,事後                                                                                                                                                                                                                                                             "
사후,a posteriori,"事後                                                                                                                                                                                                                                                             ,事後                                                                                                                                                                                                                                                             "
사후분포,a posteriori distribution,
사후확률,a posteriori probability,事後確率/事後確率                                                                                                                                                                                                                                                      
선험적,a priori,"事前                                                                                                                                                                                                                                                             ,事前                                                                                                                                                                                                                                                             "
사전,a priori,"事前                                                                                                                                                                                                                                                             ,事前                                                                                                                                                                                                                                                             "
선험분포,a priori distribution,事前                                                                                                                                                                                                                                                             
선험 추정값,a priori estimate,
선험평가식,a priori estimate,
선험적 확률,a priori probability,"事前確率                                                                                                                                                                                                                                                           ,事前確率                                                                                                                                                                                                                                                           "
주판,abacus,算盤/そろばん                                                                                                                                                                                                                                                        
생략,abbreviation,"簡約,約分                                                                                                                                                                                                                                                          "
아벨 합 가능한,Abel summable,
아벨대수,Abelian algebra,ア?ベル代?                                                                                                                                                                                                                                                         
아벨미분,Abelian differential,ア?ベル微分                                                                                                                                                                                                                                                         
아벨 확대체,Abelian extension field,"ア?ベル?大(?)                                                                                                                                                                                                                                                      ,ア?ベル?大(?)                                                                                                                                                                                                                                                      "
아벨함수,Abelian function,ア?ベル??                                                                                                                                                                                                                                                         
아벨함수체,Abelian function field,ア?ベル???                                                                                                                                                                                                                                                        
아벨구조함수,abelian functor,ア?ベル?手                                                                                                                                                                                                                                                         
아벨 군,Abelian group,"ア－ぺル群                                                                                                                                                                                                                                                          ,ア－ぺル群                                                                                                                                                                                                                                                          "
아벨아군,Abelian groupoid,ア?ベル?群                                                                                                                                                                                                                                                         
아벨 적분,Abelian integral,ア?ベル積分                                                                                                                                                                                                                                                         
아벨정리,Abelian theorem,ア?ベル定理                                                                                                                                                                                                                                                         
아벨다양체,Abelian variety,ア?ベル多??                                                                                                                                                                                                                                                        
아벨판정법,Abel's test,
비정규급수,abnormal series,不正規級?                                                                                                                                                                                                                                                          
비정규부분군,abnormal subgroup,
