한글,영어,일어
a 점점,a connection point,
A₁변태,A₁transformation,
A₂변태,A₂transformation,
A₃변태,A₃transformation,
아베의 원리,Abbe's principle,
수차,aberration,
애블레이터,ablator,
이상 연소,abnormal combustion,異常燃?(イジョウネンショウ)
마멸,abrasion,
마모,abrasion,
어브레이전,abrasion,
마멸,abrasion,
마모,abrasion,
어브레이전,abrasion,
마멸,abrasion,
마모,abrasion,
어브레이전,abrasion,
마멸 경도,abrasion hardness,
마모 경도,abrasion hardness,
마멸 경도,abrasion hardness,
마모 경도,abrasion hardness,
마모 시험,abrasion test,
마멸 시험,abrasion test,
마모 시험,abrasion test,
마멸 시험,abrasion test,
마멸 시험기,abrasion tester,
마모 시험기,abrasion tester,
마멸 시험기,abrasion tester,
마모 시험기,abrasion tester,
연삭재,abrasive,
사포,abrasive cloth,
연마포,abrasive cloth,
사포,abrasive cloth,
연마포,abrasive cloth,
숫돌 입자,abrasive grain,砥粒(トリュウ)
연마 입자,abrasive grain,砥粒(トリュウ)
숫돌 입자,abrasive grain,砥粒(トリュウ)
연마 입자,abrasive grain,砥粒(トリュウ)
연삭 마멸,abrasive wear,アブレシブ摩耗(アブレシブマモウ)
연삭 숫돌차,abrasive wheel,
숫돌 바퀴,abrasive wheel,
숫돌차,abrasive wheel,
연삭 숫돌차,abrasive wheel,
숫돌 바퀴,abrasive wheel,
숫돌차,abrasive wheel,
연삭 숫돌차,abrasive wheel,
숫돌 바퀴,abrasive wheel,
숫돌차,abrasive wheel,
연마재,abrasives,
ABS 수지,ABS resin,ABS樹脂(ABSジュシ)
가로 좌표,abscissa,
절대 오차,absolute error,
절대 습도,absolute humidity,
절대 위치 검출기,absolute position transducer,
절대 압력,absolute pressure,
절대 온도,absolute temperature,絶??度(ゼッタイオンド)
절대 단위,absolute unit,
절대 속도,absolute velocity,
절대 영도,absolute zero,
"흡수기, 흡수제, 흡수장치",absorber,
흡수,absorption,
흡수 동력계,absorption dynamometer,
